Tref,Tana,Pi_Vref,Peq_Vtotal,Pi_Vana
298,298,0.601979,0.573196,0.004499
298,298,0.900972,0.857695,0.003871
298,298,1.200143,1.142227,0.003916
298,298,1.500874,1.428299,0.004078
298,298,1.798519,1.711427,0.004239
298,298,2.096857,1.995548,0.004359
