Pi_(MPa),Pf_(MPa)
0.058157,0.03206
0.060708,0.053273
0.090265,0.075252
0.102962,0.097716
0.130604,0.115419
0.157451,0.151372
0.212789,0.203387
0.221382,0.218711
0.313731,0.299471
0.328833,0.322629
0.369744,0.361908
0.469148,0.451458
0.503904,0.495532
0.623498,0.612351
0.728944,0.715038
0.967751,0.938171
1.578765,1.509936
2.070191,2.011357
2.56333,2.50065
