Tref,Tana,Pi_Vref,Peq_Vtotal,Pi_Vana
303,303,0.478881,0.42068,0.0045
303,303,1.9716,1.7595,0.0045
303,303,3.46682,3.09558,0.0045
303,303,4.95925,4.4305,0.0045
303,303,6.4532,5.7564,0.0045
303,333,0.4764,0.4208,0.0045
303,333,1.96957,1.76345,0.0045
303,333,3.46182,3.10447,0.0045
303,333,4.956,4.4433,0.0045
