Tref,Tana,Pi_Vref,Peq_Vtotal,Pi_Vana
298,298,0.47254,0.41456,6.5E-6
298,298,0.96990,0.86236,6.5E-6
298,298,1.46708,1.30973,6.5E-6
298,298,1.96713,1.75847,6.5E-6
298,298,2.46169,2.20210,6.5E-6


