Tref,Tana,Pi_Vref,Peq_Vtotal,Pi_Vana
348,348,1.011,0.9612,0.0037
348,348,1.5033,1.426,0.0037
348,348,2.0032,1.8981,0.0037
348,348,2.5007,2.3757,0.0037
348,373,1.0043,0.9539,0.0037
348,373,1.5035,1.4279,0.0037
348,373,2.0017,1.9003,0.0037
348,373,2.4995,2.3719,0.0037
