Pi_(MPa),Pf_(MPa)
,1.1256
0.68563,0.732646
0.466904,0.497626
0.367311,0.383961
0.259046,0.278388
0.194319,0.21342
0.154866,0.168439
0.150008,0.154054
0.13324,0.137656
0.078182,0.091877
0.076612,0.080614
0.010711,0.016074



