Tref,Tana,Pi_Vref,Peq_Vtotal,Pi_Vana
298,298,0.47764,0.4205,6.5E-6
298,298,0.97531,0.866735,6.5E-6
298,298,1.47191,1.3135,6.5E-6
298,298,1.97140,1.76183,6.5E-6
298,298,2.46597,2.20515,6.5E-6

