Tref,Tana,Pi_Vref,Peq_Vtotal,Pi_Vana
298,623,0.5036,0.48911,0.00498
298,623,1.50044,1.45705,0.00362
298,623,2.49771,2.42566,0.0057
298,448,0.50243,0.50249,0.00527
298,448,1.5007,1.4482,0.00354
298,448,2.498,2.41069,0.00399
298,298,0.50018,0.48391,0.0033
298,298,1.4801,1.44447,0.0035
298,298,2.4941,2.41633,0.0057
