fecha,Pref
28/05/2025,2.08126
28/05/2025,2.08163
28/05/2025,2.08204
28/05/2025,2.08243
28/05/2025,2.08284
28/05/2025,2.0832
28/05/2025,2.08364
28/05/2025,2.08403
28/05/2025,2.0845
28/05/2025,2.08495
28/05/2025,2.08536
28/05/2025,2.08577
28/05/2025,2.08623
28/05/2025,2.08662
28/05/2025,2.08709
28/05/2025,2.0875
28/05/2025,2.08792
28/05/2025,2.0884
28/05/2025,2.0888
28/05/2025,2.08927
28/05/2025,2.08974
28/05/2025,2.09018
28/05/2025,2.09063
28/05/2025,2.09112
28/05/2025,2.09157
28/05/2025,2.09203
28/05/2025,2.09251
28/05/2025,2.093
28/05/2025,2.09345
28/05/2025,2.09399
28/05/2025,2.09444
28/05/2025,2.09499
28/05/2025,2.09549
28/05/2025,2.09605
28/05/2025,2.09653
28/05/2025,2.09708
28/05/2025,2.09756
28/05/2025,2.09809
28/05/2025,2.09864
28/05/2025,2.09911
28/05/2025,2.09964
28/05/2025,2.10018
28/05/2025,2.1008
28/05/2025,2.1013
28/05/2025,2.10183
28/05/2025,2.10245
28/05/2025,2.10296
28/05/2025,2.10351
28/05/2025,2.10411
28/05/2025,2.10462
28/05/2025,2.1052
28/05/2025,2.10588
28/05/2025,2.10639
28/05/2025,2.10694
28/05/2025,2.10754
28/05/2025,2.10818
28/05/2025,2.10879
28/05/2025,2.10938
28/05/2025,2.10993
28/05/2025,2.11053
28/05/2025,2.11116
28/05/2025,2.11178
28/05/2025,2.11239
28/05/2025,2.11295
28/05/2025,2.11363
28/05/2025,2.11422
28/05/2025,2.11495
28/05/2025,2.11552
28/05/2025,2.11613
28/05/2025,2.1168
28/05/2025,2.11744
28/05/2025,2.11812
28/05/2025,2.11873
28/05/2025,2.11937
28/05/2025,2.12007
28/05/2025,2.12071
28/05/2025,2.12137
28/05/2025,2.12204
28/05/2025,2.12273
28/05/2025,2.12346
28/05/2025,2.12405
28/05/2025,2.12476
28/05/2025,2.12549
28/05/2025,2.12613
28/05/2025,2.12686
28/05/2025,2.12765
28/05/2025,2.12822
28/05/2025,2.12894
28/05/2025,2.12963
28/05/2025,2.13038
28/05/2025,2.13107
28/05/2025,2.13183
28/05/2025,2.13248
28/05/2025,2.13324
28/05/2025,2.13403
28/05/2025,2.13472
28/05/2025,2.13543
28/05/2025,2.13617
28/05/2025,2.13689
28/05/2025,2.13765
28/05/2025,2.13842
28/05/2025,2.1392
28/05/2025,2.13987
28/05/2025,2.14061
28/05/2025,2.14153
28/05/2025,2.1422
28/05/2025,2.14292
28/05/2025,2.14369
28/05/2025,2.14446
28/05/2025,2.14524
28/05/2025,2.14604
28/05/2025,2.14682
28/05/2025,2.14767
28/05/2025,2.14833
28/05/2025,2.14921
28/05/2025,2.14998
28/05/2025,2.15084
28/05/2025,2.15162
28/05/2025,2.15241
28/05/2025,2.15318
28/05/2025,2.15406
28/05/2025,2.15481
28/05/2025,2.15563
28/05/2025,2.15656
28/05/2025,2.1573
28/05/2025,2.1581
28/05/2025,2.15895
28/05/2025,2.15993
28/05/2025,2.16079
28/05/2025,2.1616
28/05/2025,2.16246
28/05/2025,2.16326
28/05/2025,2.16415
28/05/2025,2.16491
28/05/2025,2.16574
28/05/2025,2.16666
28/05/2025,2.16747
28/05/2025,2.1683
28/05/2025,2.16929
28/05/2025,2.17015
28/05/2025,2.17099
28/05/2025,2.17193
28/05/2025,2.1728
28/05/2025,2.17363
28/05/2025,2.17455
28/05/2025,2.17543
28/05/2025,2.17627
28/05/2025,2.1772
28/05/2025,2.17806
28/05/2025,2.17904
28/05/2025,2.17986
28/05/2025,2.18079
28/05/2025,2.18168
28/05/2025,2.18256
28/05/2025,2.18348
28/05/2025,2.18443
28/05/2025,2.18527
28/05/2025,2.18621
28/05/2025,2.18705
28/05/2025,2.18799
28/05/2025,2.18889
28/05/2025,2.18981
28/05/2025,2.19072
28/05/2025,2.1917
28/05/2025,2.19255
28/05/2025,2.19344
28/05/2025,2.19432
28/05/2025,2.19524
28/05/2025,2.19609
28/05/2025,2.19695
28/05/2025,2.19786
28/05/2025,2.19868
28/05/2025,2.19951
28/05/2025,2.20035
28/05/2025,2.20126
28/05/2025,2.20219
