Tref,Tana,Pi_Vref,Peq_Vtotal,Pi_Vana
348,348,1.0037,0.9601,0.0037
348,348,1.5019,1.4323,0.0037
348,348,2.0021,1.91,0.0037
348,348,2.5001,2.3767,0.0037
348,373,1.0038,0.9587,0.0037
348,373,1.5027,1.4351,0.0037
348,373,2.0011,1.9052,0.0037
348,373,2.4987,2.3877,0.0037
