Pi_(MPa),Pf_(MPa)
,1.99034
1.50642,1.5271
1.30562,1.31619
1.10382,1.11358
0.90437,1.0262
0.70372,0.71879
0.50443,0.51609
0.30516,0.31467
0.10667,0.11575
0.00332,0.00823
