Pi_(MPa),Pf_(MPa)
0,0.00342
0.1055,0.10114
0.4061,0.39336
0.60417,0.59521
0.80549,0.79634
0.9035,0.89842
1.00559,1.00029
1.10358,1.0968
1.20509,1.1631
1.30481,1.28454
1.40528,1.35211
1.50519,1.49597
1.60529,1.59392
1.80049,1.76944
2.00303,1.99034
