Pi_(MPa),Pf_(MPa)
1.8039,1.7918
1.5043,1.4964
1.4964,1.4352
1.4352,1.4004
1.4004,1.3654
1.3654,1.3299
1.3299,1.2943
1.2943,1.2586
1.2586,1.223
1.223,1.1873
1.1873,1.151
1.151,1.1149
1.1149,1.0782
1.0782,1.0414
1.0414,1.0042
1.0042,0.9669
0.9669,0.9294
0.9294,0.892
0.892,0.8543
0.8543,0.8928
0.8928,0.8745
