Tref,Tana,Pi_Vref,Peq_Vtotal,Pi_Vana,delta_p
25,350,0.5036,0.48911,0.00498,
25,350,1.50044,1.45705,0.00362,0.96794
25,350,2.49771,2.42566,0.0057,0.96861
25,175,0.50243,0.50249,0.00527,
25,175,1.5007,1.4482,0.00354,0.94571
25,175,2.498,2.41069,0.00399,0.96249
25,25,0.50018,0.48391,0.0033,
25,25,1.4801,1.44447,0.0035,0.96056
25,25,2.4941,2.41633,0.0057,0.97186
,,,,,
,,,,,0.962861667
