Tref,Tana,Pin,Pfin
303.15,303.15,0.427,0.4117
303.15,303.15,0.9319,0.8983
303.15,303.15,1.4965,1.4413
303.15,303.15,2.0085,1.9329
303.15,323.15,0.5014,0.4839
303.15,323.15,1.0084,0.9726
303.15,323.15,1.5107,1.4569
303.15,323.15,1.983,1.9104
303.15,373.15,0.5096,0.4927
303.15,373.15,1.0087,0.9748
303.15,373.15,1.5119,1.4605
303.15,373.15,1.976,1.9083
