_time,_value
2025-07-10T16:00:01Z,17.82136198
2025-07-10T16:00:02Z,17.82117544
2025-07-10T16:00:03Z,17.82157081
2025-07-10T16:00:04Z,17.82173875
2025-07-10T16:00:05Z,17.82164432
2025-07-10T16:00:06Z,17.82171526
2025-07-10T16:00:07Z,17.82143394
2025-07-10T16:00:08Z,17.82157816
2025-07-10T16:00:09Z,17.82107148
2025-07-10T16:00:10Z,17.8213668
2025-07-10T16:00:11Z,17.8207761
2025-07-10T16:00:12Z,17.82132252
2025-07-10T16:00:13Z,17.82171664
2025-07-10T16:00:14Z,17.82188824
2025-07-10T16:00:15Z,17.82164479
2025-07-10T16:00:16Z,17.82156313
2025-07-10T16:00:17Z,17.82178374
2025-07-10T16:00:18Z,17.82075876
2025-07-10T16:00:19Z,17.81999779
2025-07-10T16:00:20Z,17.82034858
2025-07-10T16:00:21Z,17.82048868
2025-07-10T16:00:22Z,17.81984619
2025-07-10T16:00:23Z,17.82063108
2025-07-10T16:00:24Z,17.82096575
2025-07-10T16:00:25Z,17.82118339
2025-07-10T16:00:26Z,17.82177999
2025-07-10T16:00:27Z,17.82152842
2025-07-10T16:00:28Z,17.82150795
2025-07-10T16:00:29Z,17.82088327
2025-07-10T16:00:30Z,17.82145913
2025-07-10T16:00:31Z,17.82067177
2025-07-10T16:00:32Z,17.82085538
2025-07-10T16:00:33Z,17.82042334
2025-07-10T16:00:34Z,17.82101671
2025-07-10T16:00:35Z,17.82122222
2025-07-10T16:00:36Z,17.82047899
2025-07-10T16:00:37Z,17.81987102
2025-07-10T16:00:38Z,17.819525
2025-07-10T16:00:39Z,17.82002719
2025-07-10T16:00:40Z,17.81968012
2025-07-10T16:00:41Z,17.81924212
2025-07-10T16:00:42Z,17.81937156
2025-07-10T16:00:43Z,17.82008022
2025-07-10T16:00:44Z,17.81980668
2025-07-10T16:00:45Z,17.81987935
2025-07-10T16:00:46Z,17.81986868
2025-07-10T16:00:47Z,17.82052183
2025-07-10T16:00:48Z,17.82044775
2025-07-10T16:00:49Z,17.82007238
2025-07-10T16:00:50Z,17.8195486
2025-07-10T16:00:51Z,17.81876256
2025-07-10T16:00:52Z,17.8190576
2025-07-10T16:00:53Z,17.81908626
2025-07-10T16:00:54Z,17.81976586
2025-07-10T16:00:55Z,17.81999998
2025-07-10T16:00:56Z,17.82048385
2025-07-10T16:00:57Z,17.82071151
2025-07-10T16:00:58Z,17.82005496
2025-07-10T16:00:59Z,17.82001901
2025-07-10T16:01:00Z,17.81994282
2025-07-10T16:01:01Z,17.82081114
2025-07-10T16:01:02Z,17.82018219
2025-07-10T16:01:03Z,17.81967676
2025-07-10T16:01:04Z,17.81951913
2025-07-10T16:01:05Z,17.81932888
2025-07-10T16:01:06Z,17.81979324
2025-07-10T16:01:07Z,17.81959344
2025-07-10T16:01:08Z,17.82004826
2025-07-10T16:01:09Z,17.81934397
2025-07-10T16:01:10Z,17.8186618
2025-07-10T16:01:11Z,17.81817211
2025-07-10T16:01:12Z,17.81850408
2025-07-10T16:01:13Z,17.81805088
2025-07-10T16:01:14Z,17.81931051
2025-07-10T16:01:15Z,17.81940022
2025-07-10T16:01:16Z,17.81974216
2025-07-10T16:01:17Z,17.82004973
2025-07-10T16:01:18Z,17.82000444
2025-07-10T16:01:19Z,17.82014187
2025-07-10T16:01:20Z,17.82018995
2025-07-10T16:01:21Z,17.82057143
2025-07-10T16:01:22Z,17.82016442
2025-07-10T16:01:23Z,17.82045409
2025-07-10T16:01:24Z,17.82023665
2025-07-10T16:01:25Z,17.82062395
2025-07-10T16:01:26Z,17.82030121
2025-07-10T16:01:27Z,17.82051529
2025-07-10T16:01:28Z,17.81976452
2025-07-10T16:01:29Z,17.82001099
2025-07-10T16:01:30Z,17.81998149
2025-07-10T16:01:31Z,17.82062629
2025-07-10T16:01:32Z,17.8202203
2025-07-10T16:01:33Z,17.82011728
2025-07-10T16:01:34Z,17.81944649
2025-07-10T16:01:35Z,17.82032289
2025-07-10T16:01:36Z,17.82024727
2025-07-10T16:01:37Z,17.82041788
