Pi_(MPa);Pf_(MPa)
1.5069;1.5326
1.004;1.027
0.9055;0.9097
0.802;0.8068
0.7055;0.7099
0.6062;0.6469
0.5505;0.6248
0.5061;0.5242
0.456;0.4595
0.3057;0.3129
0.1064;0.1158
