Tref,Tana,Pi_Vref,Peq_Vtotal,Pi_Vana
373,348,0.502869,0.476506,0.00346
373,348,1.251649,1.185184,0.003345
373,348,2.001411,1.893539,0.003745
373,373,0.50336,0.4778,0.003847
373,373,1.252242,1.187089,0.003624
373,373,2.001221,1.895899,0.003854
# 373,423,0.503049,0.478584,0.003294
# 373,423,1.252104,1.190661,0.003241
# 373,423,2.001591,1.901978,0.003811
